Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
6,1,1,4,2,528,526,2,2562,3.926496983,15.52056217
6,1,1,4,3,783,780,2,2562,3.926496983,10.43428898
6,1,1,4,4,1076,1072,3,2560,3.923431873,8.19255352
6,1,1,4,5,1351,1346,5,2562,3.926496983,6.637604713
6,1,1,4,6,1669,1661,8,2565,3.931094646,9.444722176
6,1,1,4,7,1909,1902,6,2565,3.931094646,7.188380718
6,1,1,4,8,2246,2238,7,2562,3.926496983,8.689022064
6,1,1,4,9,2490,2481,8,2558,3.920366526,7.116042137
6,1,1,4,10,2834,2824,9,2562,3.926496983,6.52867794
6,1,1,4,11,3080,3069,10,2560,3.923431873,13.32679081
6,1,1,4,12,3373,3361,11,2560,3.923431873,14.46760464
6,1,1,4,13,3750,3737,13,2558,3.920366526,8.797246933
6,1,1,4,14,4054,4040,13,2557,3.918833971,9.516352654
6,1,1,4,15,4350,4335,14,2557,3.918833971,9.429558754
6,1,1,4,16,4696,4677,18,2559,3.92189908,7.965849876
6,1,1,4,17,5077,5060,16,2559,3.92189908,12.62142372
6,1,1,4,18,5363,5341,21,2558,3.920366526,8.014609337
6,1,1,4,19,5712,5694,18,2562,3.926496983,8.522815704
6,1,1,4,20,6082,6062,19,2556,3.917301416,7.771208286
6,1,1,4,21,6402,6378,23,2561,3.924964428,10.42085838
6,1,1,4,22,6707,6682,24,2560,3.923431873,10.48702335
6,1,1,4,23,7052,7029,23,2557,3.918833971,16.86618996
6,1,1,4,24,7373,7346,27,2563,3.928029537,14.94631195
6,1,1,4,25,7780,7752,27,2557,3.918833971,13.7608366
6,1,1,4,26,8013,7983,29,2557,3.918833971,16.07379532
6,1,1,4,27,8478,8452,26,2562,3.926496983,14.53605556
6,1,1,4,28,8868,8835,33,2560,3.923431873,7.561913013
6,1,1,4,29,9273,9245,28,2558,3.920366526,12.64442348
6,1,1,4,30,9635,9605,29,2558,3.920366526,19.47324753
6,1,1,4,1,272,271,1,2566,3.932627201,16.09173965
6,1,1,4,2,510,508,2,2567,3.934159994,17.62423134
6,1,1,4,3,772,769,3,2568,3.935692549,14.08615112
6,1,1,4,4,1066,1061,4,2569,3.937225103,17.45444679
6,1,1,4,5,1326,1320,5,2569,3.937225103,13.50494003
6,1,1,4,6,1611,1605,5,2568,3.935692549,15.88374805
6,1,1,4,7,1899,1888,10,2570,3.938757658,12.47647572
6,1,1,4,8,2199,2186,12,2569,3.937225103,12.43660831
6,1,1,4,9,2512,2504,8,2571,3.940290213,8.09127903
6,1,1,4,10,2789,2779,10,2572,3.941822767,8.441440582
6,1,1,4,11,3125,3114,11,2569,3.937225103,7.918413639
6,1,1,4,12,3447,3435,11,2567,3.934159994,10.79255104
6,1,1,4,13,3661,3645,16,2573,3.94335556,15.17429352
6,1,1,4,14,3950,3937,13,2574,3.944888115,14.57147121
6,1,1,4,15,4297,4282,14,2572,3.941822767,8.426197052
6,1,1,4,16,4686,4670,15,2571,3.940290213,8.166903496
6,1,1,4,17,4982,4966,16,2572,3.941822767,9.141727448
6,1,1,4,18,5384,5366,17,2573,3.94335556,19.66645622
6,1,1,4,19,5497,5478,18,2567,3.934159994,16.31943512
6,1,1,4,20,5901,5881,20,2569,3.937225103,10.8800621
6,1,1,4,21,6417,6396,20,2569,3.937225103,14.75754547
6,1,1,4,22,6500,6475,24,2573,3.94335556,19.00789642
6,1,1,4,23,6993,6969,24,2571,3.940290213,16.53785515
6,1,1,4,24,7435,7411,24,2569,3.937225103,8.491013527
6,1,1,4,25,7581,7552,28,2572,3.941822767,14.70741177
6,1,1,4,26,7991,7958,32,2567,3.934159994,15.51315308
6,1,1,4,27,8311,8280,31,2569,3.937225103,16.59404182
6,1,1,4,28,8898,8864,33,2567,3.934159994,14.79236317
6,1,1,4,29,9005,8974,31,2571,3.940290213,17.74664879
6,1,1,4,30,9280,9245,35,2571,3.940290213,15.28867531
7,1,1,5,1,320,319,1,2629,4.029180527,14.89801407
7,1,1,5,2,644,639,5,2629,4.029180527,13.64429188
7,1,1,5,3,994,990,3,2629,4.029180527,15.10807705
7,1,1,5,4,1311,1306,4,2631,4.032245636,13.95436096
7,1,1,5,5,1678,1672,5,2633,4.035310745,13.78583336
7,1,1,5,6,2030,2023,7,2628,4.027647972,8.960333824
7,1,1,5,7,2518,2510,8,2631,4.032245636,6.618623257
7,1,1,5,8,2789,2780,9,2631,4.032245636,17.65174866
7,1,1,5,9,3128,3110,18,2629,4.029180527,17.68004799
7,1,1,5,10,3443,3427,15,2629,4.029180527,14.00047874
7,1,1,5,11,3865,3852,13,2629,4.029180527,15.30696106
7,1,1,5,12,4226,4212,13,2628,4.027647972,14.33999348
7,1,1,5,13,4607,4591,15,2629,4.029180527,13.44252205
7,1,1,5,14,5068,5051,16,2630,4.030713081,18.88681221
7,1,1,5,15,5371,5348,22,2630,4.030713081,13.96045494
7,1,1,5,16,5821,5802,19,2635,4.038375854,11.12943745
7,1,1,5,17,6209,6186,23,2627,4.026115417,16.81134033
7,1,1,5,18,6583,6562,21,2632,4.033778191,14.82383156
7,1,1,5,19,7029,7005,23,2628,4.027647972,14.71639156
