Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Unity RAM Usage (MB),DTs RAM Usage (MB),Services RAM Usage (MB),Total RAM Usage (MB),Unity RAM Usage (%),DTs RAM Usage (%),Services RAM Usage (%),Total RAM Usage (%),DTs CPU Usage (%),Services CPU Usage (%),Unity CPU Usage (%),Total CPU Usage (%)
14,1,3,10,21,430,354,75,2906,42.87890625,122.078125,3070.957031,4.453708172,0.065715805,0.187095776,4.706519604,0,0,14.14005947,14.14005947
14,1,3,10,22,452,371,80,2906,43.2890625,122.5703125,3071.859375,4.453708172,0.06634441,0.187850103,4.707902908,0,0,13.22116852,13.22116852
14,1,3,10,23,469,385,83,2905,43.4921875,122.7734375,3071.265625,4.452175617,0.066655718,0.188161403,4.706992626,0,0,13.81112194,13.81112194
14,1,3,10,24,495,406,89,2905,43.56640625,122.7734375,3071.339844,4.452175617,0.066769458,0.188161403,4.70710659,0,0,13.92740154,13.92740154
14,1,3,10,25,514,422,91,2905,43.6640625,122.1367188,3070.800781,4.452175617,0.066919126,0.187185585,4.706280231,0,0,15.10055542,15.10055542
14,1,3,10,26,509,413,96,2905,43.6171875,121.59375,3070.210938,4.452175617,0.066847287,0.18635343,4.705376148,0,0,14.51543427,14.51543427
14,1,3,10,27,673,551,121,2906,43.65234375,121.5429688,3071.195313,4.453708172,0.06690117,0.186275601,4.706884861,0,0,12.38617039,12.38617039
14,1,3,10,28,622,519,103,2908,43.62890625,121.4921875,3073.121094,4.456773281,0.06686525,0.186197773,4.709836483,0,0,13.84609604,13.84609604
14,1,3,10,29,650,544,105,2908,44.17578125,121.5039063,3073.679688,4.456773281,0.067703381,0.186215743,4.710692406,0,0,13.73440647,13.73440647
14,1,3,10,30,689,579,110,2908,41.96875,121.3398438,3071.308594,4.456773281,0.064320907,0.185964301,4.70705843,0,0,13.65259933,13.65259933
14,1,3,10,1,92,66,25,4087,34.8046875,134.9335938,4256.738281,6.263697624,0.053341337,0.206797943,6.52383709,0,0,13.34411907,13.34411907
14,1,3,10,2,51,44,6,4055,38.61328125,130.6992188,4224.3125,6.214654446,0.059178349,0.200308383,6.474141121,0,0,16.2448101,16.2448101
14,1,3,10,3,65,55,10,3896,40.97265625,126.671875,4063.644531,5.970972538,0.062794305,0.194136113,6.227902889,0,0,16.23633003,16.23633003
14,1,3,10,4,78,65,13,3890,41.04296875,125.453125,4056.496094,5.96177721,0.062902063,0.192268267,6.216947556,0,0,13.7484808,13.7484808
14,1,3,10,5,84,67,16,3891,41.78515625,124.8789063,4057.664063,5.963309765,0.064039536,0.191388234,6.218737602,0,0,16.64072609,16.64072609
14,1,3,10,6,100,79,20,3892,41.1640625,124.8710938,4058.035156,5.964842319,0.06308765,0.191376254,6.219305992,0,0,14.24720764,14.24720764
14,1,3,10,7,111,88,23,3894,41.265625,124.8710938,4060.136719,5.967907429,0.063243307,0.191376254,6.222527027,0,0,16.5732193,16.5732193
14,1,3,10,8,117,89,27,3894,41.23828125,124.7070313,4059.945313,5.967907429,0.063201398,0.191124812,6.222233772,0,0,14.60736847,14.60736847
14,1,3,10,9,133,103,29,3894,41.26171875,124.546875,4059.808594,5.967907429,0.063237317,0.19087936,6.222023964,0,0,16.20163918,16.20163918
14,1,3,10,10,160,124,36,3895,41.41015625,124.546875,4060.957031,5.969439983,0.063464813,0.19087936,6.22378397,0,0,13.24406528,13.24406528
14,1,3,10,11,170,126,44,3898,41.42578125,124.5351563,4063.960938,5.974038124,0.063488759,0.190861404,6.228388309,0,0,16.51826859,16.51826859
14,1,3,10,12,196,150,45,3898,41.734375,124.5195313,4064.253906,5.974038124,0.063961707,0.190837458,6.22883749,0,0,14.08696651,14.08696651
14,1,3,10,13,201,150,50,3899,41.88671875,124.0976563,4064.984375,5.975570679,0.064195186,0.190190896,6.229956627,0,0,13.9399004,13.9399004
14,1,3,10,14,248,191,57,3903,41.890625,124.0976563,4068.988281,5.981700897,0.064201176,0.190190896,6.236093044,0,0,16.25283051,16.25283051
14,1,3,10,15,275,210,65,3905,42,124.0976563,4071.097656,5.984766006,0.064368799,0.190190896,6.239325523,0,0,14.47588539,14.47588539
14,1,3,10,16,285,226,59,3905,41.99609375,124.0976563,4071.09375,5.984766006,0.064362817,0.190190896,6.239319801,0,0,15.85924149,15.85924149
14,1,3,10,17,310,243,67,3907,42.09765625,124.0976563,4073.195313,5.987831116,0.064518467,0.190190896,6.242540359,0,0,12.36920547,12.36920547
14,1,3,10,18,329,249,80,3910,42.44140625,124.390625,4076.832031,5.99242878,0.065045297,0.190639898,6.248114109,0,0,17.55545425,17.55545425
14,1,3,10,19,490,418,72,3910,42.5,124.4882813,4076.988281,5.99242878,0.065135099,0.190789565,6.248353481,0,0,14.04998016,14.04998016
14,1,3,10,20,513,437,75,3911,42.9765625,123.7226563,4077.699219,5.993961811,0.065865472,0.189616174,6.249443531,0,0,15.21465969,15.21465969
14,1,3,10,21,518,439,78,3911,43.359375,124.4882813,4078.847656,5.993961811,0.066452168,0.190789565,6.251203537,0,0,15.73929977,15.73929977
14,1,3,10,22,476,392,83,3911,43.73046875,124.0898438,4078.820313,5.993961811,0.067020901,0.190178916,6.251161575,0,0,11.95668793,11.95668793
14,1,3,10,23,470,373,97,3912,44.21484375,124.0898438,4080.304688,5.995494366,0.067763254,0.190178916,6.253436565,0,0,14.11497784,14.11497784
14,1,3,10,24,591,499,91,3912,44.27734375,124.078125,4080.355469,5.995494366,0.067859039,0.19016096,6.25351429,0,0,15.19680786,15.19680786
14,1,3,10,25,526,431,95,3912,44.296875,123.4140625,4079.710938,5.995494366,0.067888975,0.189143226,6.25252676,0,0,12.12172222,12.12172222
14,1,3,10,26,540,440,100,3912,44.28125,123.0117188,4079.292969,5.995494366,0.067865022,0.188526601,6.251885891,0,0,15.6664629,15.6664629
14,1,3,10,27,578,476,102,3912,44.3203125,122.9492188,4079.269531,5.995494366,0.067924894,0.188430816,6.251850128,0,0,16.65987015,16.65987015
14,1,3,10,28,628,523,105,3912,44.34375,122.78125,4079.125,5.995494366,0.067960814,0.188173383,6.251628399,0,0,15.1555624,15.1555624
14,1,3,10,29,647,538,108,3912,44.84765625,122.78125,4079.628906,5.995494366,0.068733096,0.188173383,6.252400875,0,0,13.55809116,13.55809116
14,1,3,10,30,635,521,113,3912,42.59765625,122.390625,4076.988281,5.995494366,0.065284766,0.187574714,6.248353958,0,0,14.15418434,14.15418434
14,1,3,10,1,73,48,25,4066,42.546875,122.2851563,4230.832031,6.231513023,0.065206937,0.187413067,6.484133244,0,0,14.61189651,14.61189651
14,1,3,10,2,74,67,6,4063,42.55859375,122.3125,4227.871094,6.226915359,0.065224901,0.187454984,6.479595184,0,0,15.62549782,15.62549782
14,1,3,10,3,67,56,11,3908,42.2890625,122.1289063,4072.417969,5.98936367,0.064811818,0.187173605,6.24134922,0,0,15.28740978,15.28740978
14,1,3,10,4,88,66,21,3900,42.29296875,121.9101563,4064.203125,5.977103233,0.064817801,0.186838359,6.228759289,0,0,17.07609558,17.07609558
14,1,3,10,5,86,68,18,3896,42.0078125,121.6953125,4059.703125,5.970972538,0.064380772,0.186509088,6.221862316,0,0,12.89993095,12.89993095
14,1,3,10,6,103,82,21,3896,42.01171875,123.5117188,4061.523438,5.970972538,0.064386763,0.189292893,6.22465229,0,0,13.1777916,13.1777916
14,1,3,10,7,119,94,24,3897,42.015625,123.2734375,4062.289063,5.972505093,0.064392753,0.18892771,6.225825787,0,0,14.0675869,14.0675869
14,1,3,10,8,143,114,28,3899,42.00390625,121.6523438,4062.65625,5.975570679,0.06437479,0.186443225,6.226388931,0,0,13.76610279,13.76610279
14,1,3,10,9,164,130,33,3901,42.0390625,121.6601563,4064.699219,5.978635788,0.064428672,0.186455205,6.229519844,0,0,15.18903542,15.18903542
14,1,3,10,10,192,151,40,3905,42.0390625,121.4804688,4068.519531,5.984766006,0.064428672,0.186179817,6.235374451,0,0,14.31521225,14.31521225
14,1,3,10,11,241,190,51,3905,41.98828125,121.8046875,4068.792969,5.984766006,0.064350843,0.186676711,6.235793591,0,0,14.52412415,14.52412415
14,1,3,10,12,205,153,51,3907,42.36328125,120.6992188,4070.0625,5.987831116,0.064925566,0.184982479,6.237739086,0,0,17.26550484,17.26550484
14,1,3,10,13,226,172,54,3910,42.36328125,120.703125,4073.066406,5.99242878,0.064925566,0.184988469,6.242342949,0,0,14.52682018,14.52682018
14,1,3,10,14,248,182,65,3914,42.36328125,120.7226563,4077.085938,5.998559475,0.064925566,0.185018405,6.248503685,0,0,13.6107235,13.6107235
14,1,3,10,15,258,197,61,3914,42.36328125,120.7070313,4077.070313,5.998559475,0.064925566,0.184994459,6.248479366,0,0,13.90367317,13.90367317
14,1,3,10,16,301,241,59,3914,42.33984375,120.7226563,4077.0625,5.998559475,0.064889647,0.185018405,6.248467445,0,0,14.17284298,14.17284298
14,1,3,10,17,317,242,75,3915,42.35546875,120.375,4077.730469,6.00009203,0.064913593,0.184485584,6.249491215,0,0,17.91470718,17.91470718
14,1,3,10,18,339,268,71,3915,42.60546875,120.375,4077.980469,6.00009203,0.065296739,0.184485584,6.249874115,0,0,14.77020073,14.77020073
14,1,3,10,19,349,284,64,3915,42.95703125,120.375,4078.332031,6.00009203,0.065835543,0.184485584,6.250412941,0,0,15.46916103,15.46916103
14,1,3,10,20,390,305,85,3918,43.328125,120.3789063,4081.707031,6.004689693,0.066404276,0.184491575,6.25558567,0,0,15.28872871,15.28872871
14,1,3,10,21,405,325,80,3918,43.72265625,120.3710938,4082.09375,6.004689693,0.067008927,0.184479594,6.256178379,0,0,13.54364014,13.54364014
14,1,3,10,22,472,381,91,3918,44.13671875,120.015625,4082.152344,6.004689693,0.067643516,0.183934808,6.256268024,0,0,15.77682018,15.77682018
14,1,3,10,23,484,388,95,3920,44.57421875,120.015625,4084.589844,6.007754803,0.068314023,0.183934808,6.260003567,0,0,14.32780933,14.32780933
14,1,3,10,24,500,409,90,3920,45.0234375,120.0078125,4085.03125,6.007754803,0.069002494,0.183922842,6.260680199,0,0,15.06799889,15.06799889
14,1,3,10,25,538,435,102,3920,42.4375,120.0195313,4082.457031,6.007754803,0.065039314,0.183940798,6.256734848,0,0,13.74087811,13.74087811
14,1,3,10,26,519,422,97,3919,42.91015625,119.7109375,4081.621094,6.006222248,0.065763697,0.18346785,6.255453587,0,0,15.74984646,15.74984646
14,1,3,10,27,596,489,106,3918,43.4140625,119.7109375,4081.125,6.004689693,0.06653598,0.18346785,6.254693508,0,0,18.39103317,18.39103317
14,1,3,10,28,624,519,104,3918,43.9375,119.6992188,4081.636719,6.004689693,0.067338198,0.183449894,6.255477905,0,0,14.91416836,14.91416836
14,1,3,10,29,663,551,111,3921,44.48046875,119.6523438,4085.132813,6.009287357,0.068170346,0.183378056,6.260835648,0,0,14.79498768,14.79498768
14,1,3,10,30,632,521,111,3921,45.0390625,119.6132813,4085.652344,6.009287357,0.06902644,0.183318183,6.261631966,0,0,13.51980686,13.51980686
16,1,4,11,1,93,66,26,2937,34.5859375,153.9414063,3125.527344,4.501218319,0.053006079,0.235929146,4.790153503,0.384019464,0,12.4889183,12.87293816
