Number of DTs,Number of Campuses,Number of Precincts,Number of Buildings,Number of Data Points,Total Time Taken,DT Response Time Taken,Visualisation Time Taken,Total RAM Usage (MB),Total RAM Usage (%),CPU Usage (%)
12,1,3,8,1,12773,12771,2,2447,3.75024914741516,12.7065553665161
12,1,3,8,2,13899,13896,2,2451,3.75637936592102,11.469521522522
12,1,3,8,3,14792,14788,4,2454,3.76097726821899,12.6088542938232
12,1,3,8,4,15723,15717,5,2456,3.76404237747192,13.5728578567505
12,1,3,8,5,15981,15974,6,2457,3.76557493209839,10.8784370422363
12,1,3,8,6,16929,16920,8,2462,3.77323794364929,11.6150989532471
12,1,3,8,7,18030,18020,9,2464,3.77630305290222,11.78502368927
12,1,3,8,8,18561,18550,10,2478,3.79775929450989,12.103343963623
12,1,3,8,9,22342,22330,12,2473,3.79009628295898,11.2703065872192
12,1,3,8,10,23327,23314,13,2485,3.80848741531372,11.1791162490845
12,1,3,8,11,21745,21731,14,2489,3.81461787223816,12.0721673965454
12,1,3,8,12,22775,22760,15,2493,3.8207483291626,11.7031145095825
12,1,3,8,13,22970,22952,17,2498,3.82841110229492,8.60411357879639
12,1,3,8,14,23696,23674,21,2505,3.83913922309875,14.0161800384521
12,1,3,8,15,25121,25101,19,2508,3.84373712539673,11.4849414825439
12,1,3,8,16,25231,25209,21,2520,3.86212825775146,11.8338031768799
12,1,3,8,17,26845,26822,23,2524,3.86825847625732,10.9788732528687
12,1,3,8,18,27852,27827,24,2520,3.86212825775146,13.1734209060669
12,1,3,8,19,29155,29130,25,2526,3.87132358551025,11.6772155761719
12,1,3,8,20,32253,32226,27,2536,3.88664960861206,12.8637018203735
12,1,3,8,21,30769,30740,28,2544,3.89891028404236,11.8504419326782
12,1,3,8,22,31459,31430,29,2548,3.9050407409668,15.1539649963379
12,1,3,8,23,33165,33134,30,2547,3.90350818634033,13.2962856292725
12,1,3,8,24,34269,34236,32,2548,3.9050407409668,13.3725614547729
12,1,3,8,25,34996,34963,33,2546,3.90197539329529,13.6049928665161
12,1,3,8,26,37537,37501,35,2554,3.91423630714417,13.3610725402832
12,1,3,8,27,37754,37717,37,2564,3.92956209182739,16.9924812316895
12,1,3,8,28,38620,38581,38,2579,3.95255088806152,10.6328983306885
12,1,3,8,29,43003,42964,39,2549,3.90657329559326,11.7117099761963
12,1,3,8,30,48286,48243,42,2550,3.90810585021973,10.7146511077881
13,1,3,9,1,14629,14627,2,2455,3.76250982284546,13.9605102539063
13,1,3,9,2,16598,16595,3,2459,3.76864004135132,11.1805963516235
13,1,3,9,3,17866,17862,4,2462,3.77323794364929,9.16755676269531
13,1,3,9,4,19033,19027,5,2463,3.77477049827576,9.31505012512207
13,1,3,9,5,18809,18801,7,2471,3.78703117370605,12.0368671417236
13,1,3,9,6,20159,20150,9,2472,3.78856372833252,10.347243309021
13,1,3,9,7,20574,20564,10,2476,3.79469418525696,14.9489612579346
13,1,3,9,8,22443,22431,11,2479,3.79929184913635,12.4718284606934
13,1,3,9,9,22655,22641,13,2488,3.81308531761169,12.6498785018921
13,1,3,9,10,23427,23413,14,2497,3.82687854766846,11.5758981704712
13,1,3,9,11,24354,24337,17,2499,3.82994365692139,11.508430480957
13,1,3,9,12,25461,25437,24,2509,3.84526968002319,13.4259357452393
13,1,3,9,13,27310,27291,19,2516,3.85599780082703,12.4938068389893
13,1,3,9,14,28871,28850,21,2524,3.86825847625732,13.9386129379272
13,1,3,9,15,28358,28335,22,2535,3.8851170539856,12.761622428894
13,1,3,9,16,28957,28928,29,2538,3.88971471786499,11.7502222061157
13,1,3,9,17,33236,33210,25,2541,3.89431262016296,11.4529628753662
13,1,3,9,18,33398,33371,26,2548,3.9050407409668,10.9459495544434
13,1,3,9,19,33195,33163,31,2544,3.89891028404236,13.3872327804565
13,1,3,9,20,33990,33960,29,2568,3.93569254875183,12.9308586120605
13,1,3,9,21,34830,34798,32,2562,3.92649698257446,17.4230403900146
13,1,3,9,22,36702,36668,33,2556,3.91730141639709,15.6233386993408
13,1,3,9,23,37352,37316,35,2575,3.94642066955566,11.4900255203247
13,1,3,9,24,42941,42904,37,2561,3.924964427948,12.2562122344971
13,1,3,9,25,39525,39487,37,2579,3.95255088806152,11.3080177307129
13,1,3,9,26,42627,42587,40,2573,3.94335556030273,13.6221733093262
13,1,3,9,27,43201,43159,41,2578,3.95101833343506,11.8746957778931
13,1,3,9,28,43902,43859,42,2569,3.9372251033783,13.0046901702881
13,1,3,9,29,44614,44569,44,2579,3.95255088806152,11.7551889419556
13,1,3,9,30,46982,46935,47,2581,3.95561623573303,11.962010383606
14,1,3,10,1,15350,15347,2,2459,3.76864004135132,12.4836664199829
14,1,3,10,2,16732,16727,4,2462,3.77323794364929,12.9816474914551
14,1,3,10,3,18257,18252,5,2474,3.79162907600403,12.2645645141602
14,1,3,10,4,17911,17904,7,2474,3.79162907600403,11.298529624939
14,1,3,10,5,20155,20147,8,2475,3.79316163063049,10.7249584197998
14,1,3,10,6,20503,20493,10,2476,3.79469418525696,9.76397228240967
14,1,3,10,7,22132,22120,12,2489,3.81461787223816,11.0487699508667
14,1,3,10,8,29379,29365,13,2494,3.82228088378906,15.1977996826172
14,1,3,10,9,34118,34103,14,2497,3.82687854766846,11.2720680236816
