Campus,Precinct,Reticulation,Building,Meter Name,Meter Type,meter_id,description,make,manufacturer,type,Serial Number,model,yard_number,Building_No,Floor,Room_No,Meter_Description,Latitude,Longitude,IP_Address,Port,Location,Starting date
Stellenbosch University,Ingenieurswese 11 kV,-,Elektriese En Elektroniese Ing,Elektriese En Elektroniese Ing - VM Remainder,Energy,3905,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Elektriese En Elektroniese Ing,PO Sauer (Bosbou),Energy,2643,Mondi Lab - PO Sauer,Elster,Kocos,A1140,68509023,LiMo R2,3385,10,1,1034,Mondi lab - PO Sauer,-33.92685924,18.86610288,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Elektriese En Elektroniese Ing,PO Sauer (Bosbou),Energy,2655,PO Sauer (Bosbou),Elster,Kocos,A1140,58500465,LiMo R2,3385,104,1,E103B,PO Sauer (Bosbou),-33.92822605,18.86669839,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Elektriese En Elektroniese Ing,-,Energy,2654,Elektriese En Elektroniese Ing,Elster,Kocos,A1700,61102035,LiMo R2,3385,104,1,E103B,Elektriese en elektroniese ingenieurswese,-33.92823421,18.86669861,146.232.146.140,8073,Local,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Huis Mac Donald,-,Energy,2664,Huis Mac Donald,ELSTER,Kocos,A1140,68509075,LiMo R2,-,288,1,1008,Huis Macdonald,-33.92592833,18.8694305,146.232.146.140,8074,Local,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,DB-A,Energy,3616,DB-A,Elster,Kocos,A1140,38146611,LiMo R2,4854,104,1,199c,DB-A,-33.92872344,18.86585919,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,DB-H,Energy,3614,DB-H,Elster,Kocos,A1140,38146603,LiMo R2,4854,104,1,199c,DB-H,-33.92870869,18.86582499,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,DB-WW,Energy,3068,DB-WW,Elster,Kocos,A1140,58500438,LiMo R2,4854,104,1,199c,DB-WW,-33.92872872,18.8658431,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,General Engineering,Energy,3067,General Engineering,Elster,Kocos,A1140,58500432,LiMo R2,4854,104,1,199c,General Engineering,-33.92872149,18.86585181,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,Knowledge Centre,Energy,2775,CRSES,Elster,Kocos,A1140,68508005,LiMo R2,4854,108,4,K412,CRSES,-33.92902231,18.86600068,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,Knowledge Centre,Energy,2776,DB-MIH,Elster,Kocos,A1140,68508392,LiMo R2,4854,108,4,K413,DB-MIH,-33.92901535,18.86599011,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,Knowledge Centre,Energy,2677,Kennis PV Paneel,Elster,Kocos,A1140,18102149,LiMo R2,4854,108,4,K411,Kennis PV paneel,-33.92903969,18.86598307,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,Knowledge Centre,Energy,2665,Knowledge Centre,Elster,Kocos,A1140,68508391,LiMo R2,4854,108,1,K114A,Kennis sentrum toevoer,-33.9290115,18.8659938,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,Reitzhall HVAC,Energy,3601,Reitzhall HVAC,Elster,Kocos,A1140,38146571,LiMo R2,4854,104,1,199c,Reitzhall HVAC,-33.92872149,18.86583974,-,0,-,2022/05/01 00:00
Stellenbosch University,Ingenieurswese 11 kV,-,Meganiese Ingenieurswese TRF 1,SMDB Computer Centre,Energy,3617,SMDB Computer Centre,Elster,Kocos,A1140,38146602,LiMo R2,4854,104,1,199c,SMDB computer centre,-33.92872121,18.86582432,-,0,-,2022/05/01 00:00
